StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7
2025-12-02 18:08:58,2025-12-02 18:10:40,IP Address,100,101,True,2025-12-02 18:10:40,R_6EGYkDL7FfgIQGi,email,EN,"I have read and understood the consent form, and I do NOT provide my consent to participate in this study.",Never,2-5 times per week,Prefer not to answer,Prefer not to answer,Other chatbots are better.,
2025-12-02 18:03:00,2025-12-02 18:10:53,IP Address,100,473,True,2025-12-02 18:10:54,R_6rkzKLqlrAJ0362,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,Never,40%,Prefer not to answer,Prefer not to answer,"The AI Tutor's limited set of training data greatly impacts the types of questions it can answer, even when the questions are related to computer science."
2025-12-02 18:10:41,2025-12-02 18:10:57,IP Address,100,16,True,2025-12-02 18:10:57,R_1KrqTdNgPLNN3zZ,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,
2025-12-02 18:10:06,2025-12-02 18:11:15,IP Address,100,69,True,2025-12-02 18:11:15,R_7NbjNGox6dhRvSl,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,2-5 times per week,Prefer not to answer,Prefer not to answer,Prefer not to answer,I did not really use the AI tutor as much so I can really say anything
2025-12-02 18:06:02,2025-12-02 18:12:09,IP Address,100,367,True,2025-12-02 18:12:09,R_3XlxFHkCn9TctyN,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,5 to 10 times per week,60%,The AI Tutor was somewhat useful as a personal study tool.,Other chatbots are marginally better.,"AI tutor is pretty restrictive, like limited when it comes to topics. It seems like I have to stay in a ""script"" in order to get a response"
2025-12-02 18:11:42,2025-12-02 18:12:25,IP Address,100,43,True,2025-12-02 18:12:25,R_6XomkbUjvRNnlhA,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,Fewer than 2 times per week,Prefer not to answer,The AI Tutor was hardly useful as a personal study tool.,Other chatbots are marginally better.,
2025-12-02 18:10:52,2025-12-02 18:12:26,IP Address,100,94,True,2025-12-02 18:12:27,R_6VfOZTcgbGZvYib,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,Fewer than 2 times per week,95%,The AI Tutor was somewhat useful as a personal study tool.,The AI Tutor is marginally better.,
2025-12-02 18:15:57,2025-12-02 18:16:45,IP Address,100,48,True,2025-12-02 18:16:46,R_1RNRN8xr6F7onnx,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,Fewer than 2 times per week,Prefer not to answer,The AI Tutor was hardly useful as a personal study tool.,Other chatbots are better.,
2025-12-02 18:15:45,2025-12-02 18:17:29,IP Address,100,103,True,2025-12-02 18:17:29,R_7igotQRiw9GqRRI,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,Fewer than 2 times per week,,,,
2025-12-02 18:16:35,2025-12-02 18:18:59,IP Address,100,144,True,2025-12-02 18:19:00,R_1OHGZCk4g8dL0zE,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",2-5 times per week,2-5 times per week,95%,The AI Tutor was useful as a personal study tool.,The AI Tutor is marginally better.,"Thanks to it being pretty much specialized for this class in particular, info was usually more accurate to what I would expect from the class itself. However, it usually wouldn't provide helpful analogies or explanations when such things weren't elaborated upon in lecture. That was when I'd usually fall back on other bots like GPT and the like."
2025-12-02 18:15:43,2025-12-02 18:22:34,IP Address,100,410,True,2025-12-02 18:22:34,R_6nU9caSseujujP1,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",5 to 10 times per week,5 to 10 times per week,80%,The AI Tutor was somewhat useful as a personal study tool.,Other chatbots are marginally better.,"I’ve used it a little, but other harbors are generally better in how they provide information"
2025-12-02 18:30:45,2025-12-02 18:31:49,IP Address,100,63,True,2025-12-02 18:31:49,R_538tlYtNgq9PK5K,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,2-5 times per week,80%,The AI Tutor was useful as a personal study tool.,Other chatbots are better.,
2025-12-02 18:31:28,2025-12-02 18:32:34,IP Address,100,66,True,2025-12-02 18:32:35,R_38MSKw2iAsiAG5P,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,5 to 10 times per week,60%,The AI Tutor was somewhat useful as a personal study tool.,Prefer not to answer,I did not use the AI Tutor and as such cannot compare the usefulness of it to other chatbots.
2025-12-02 19:22:08,2025-12-02 19:22:30,IP Address,100,22,True,2025-12-02 19:22:31,R_7joy06J0qPxQJ2p,email,EN,"I have read and understood the consent form, and I do NOT provide my consent to participate in this study.",Prefer not to answer,Prefer not to answer,80%,The AI Tutor was somewhat useful as a personal study tool.,Other chatbots are better.,
2025-12-02 20:03:37,2025-12-02 20:16:57,IP Address,100,799,True,2025-12-02 20:16:57,R_3wwXi6elgFWsadz,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,Fewer than 2 times per week,Prefer not to answer,The AI Tutor was somewhat useful as a personal study tool.,The AI Tutor is better.,I love that the AI tutor uses the class slides but it would be better if the source material were linked in a better way. Sometimes it isn't easy to read the source material.
2025-12-02 21:02:30,2025-12-02 21:04:00,IP Address,100,89,True,2025-12-02 21:04:00,R_1uDtqbpxcFm3BJO,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,Fewer than 2 times per week,Prefer not to answer,Prefer not to answer,Prefer not to answer,
2025-12-02 21:11:23,2025-12-02 21:12:05,IP Address,100,41,True,2025-12-02 21:12:05,R_6kUkyQjF3vwhSD9,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,5 to 10 times per week,80%,The AI Tutor was somewhat useful as a personal study tool.,The AI Tutor is better.,
2025-12-02 18:07:22,2025-12-02 21:37:40,IP Address,100,12617,True,2025-12-02 21:37:40,R_31EY3lUVXZqKuNd,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,2-5 times per week,80%,The AI Tutor was not useful as a personal study tool.,Other chatbots are better.,
2025-12-02 22:08:06,2025-12-02 22:08:34,IP Address,100,27,True,2025-12-02 22:08:34,R_3e9XOjlPnNLDiQ8,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Never,5 to 10 times per week,60%,Prefer not to answer,Prefer not to answer,
2025-12-02 22:34:07,2025-12-02 22:34:22,IP Address,100,15,True,2025-12-02 22:34:23,R_69iyjSMEIZRrQ1A,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",5 to 10 times per week,2-5 times per week,80%,,The AI Tutor is marginally better.,
2025-12-02 18:04:48,2025-12-03 00:46:58,IP Address,100,24129,True,2025-12-03 00:46:58,R_58UiZJ6f0OYk4BV,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,2-5 times per week,100%,The AI Tutor was somewhat useful as a personal study tool.,Other chatbots are better.,"In my opinion, my questions are too broad. There is no fixed system, and they may appear at any time or in any situation, so the AI tutor may not be very convenient for me to use."
2025-12-03 01:47:14,2025-12-03 01:48:36,IP Address,100,81,True,2025-12-03 01:48:36,R_64cr2Obs6JRTWBf,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",2-5 times per week,Fewer than 2 times per week,Prefer not to answer,The AI Tutor was somewhat useful as a personal study tool.,Prefer not to answer,
2025-12-03 13:12:42,2025-12-03 13:13:45,IP Address,100,62,True,2025-12-03 13:13:45,R_7xxUlLyl5umQbSP,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,
2025-12-03 13:37:36,2025-12-03 13:38:33,IP Address,100,56,True,2025-12-03 13:38:33,R_1hZlhnHUAhJZ7DX,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Prefer not to answer,5 to 10 times per week,100%,The AI Tutor was useful as a personal study tool.,The AI Tutor is better.,
2025-12-03 14:13:17,2025-12-03 14:13:39,IP Address,100,22,True,2025-12-03 14:13:39,R_7ePE7qQ0NGIMNEB,email,EN,"I have read and understood the consent form, and I provide my consent to participate in this study.",Fewer than 2 times per week,Fewer than 2 times per week,60%,The AI Tutor was somewhat useful as a personal study tool.,Other chatbots are marginally better.,
2025-12-02 14:59:18,2025-12-03 14:13:47,IP Address,100,83669,True,2025-12-03 14:13:48,R_3Suw5j254KOl3cg,email,EN,"I have read and understood the consent form, and I do NOT provide my consent to participate in this study.",,,,,,
